elastic_FP,elastic_heap,tam,item
1222,1,2902,18653
883,3,2903,22389
547,3,2904,26174
2010,1,2905,9636
2483,1,2906,4580
1304,2,2907,17600
2138,1,2908,8324
726,3,2909,24221
585,3,2910,25812
1703,2,2911,12960
2862,1,2912,537
2279,1,2913,6788
488,3,2914,26735
213,6,2915,30238
357,3,2916,28655
1456,1,2917,15952
297,4,2918,29278
1410,3,2919,16530
18,8,2920,32529
1066,3,2921,20402
626,3,2922,25379
802,3,2923,23492
1050,2,2924,20534
1724,1,2925,12883
34,7,2926,32336
324,5,2927,29009
1223,2,2928,18838
1203,2,2929,19037
2479,1,2930,4854
674,3,2931,24912
2106,1,2932,8956
1974,1,2933,10300
2756,1,2934,2145
423,4,2935,27702
170,5,2936,30749
2137,2,2937,8614
2109,2,2938,8962
1683,1,2939,13303
938,2,2940,21800
97,5,2941,31704
2433,1,2942,5549
875,4,2943,22638
322,4,2944,29086
2696,1,2945,2851
1714,2,2946,13061
1715,3,2947,13055
2640,1,2948,3428
432,3,2949,27560
994,2,2950,21300
236,5,2951,30075
2092,1,2952,9239
1618,2,2953,14176
1393,2,2954,16863
1801,2,2955,12355
455,3,2956,27295
775,2,2957,23903
1265,1,2958,18520
2878,1,2959,945
1195,3,2960,19207
34,7,2961,32345
1997,1,2962,10262
2948,1,2963,179
1009,3,2964,21131
301,3,2965,29285
2357,1,2966,6499
75,6,2967,31929
1313,2,2968,17907
812,2,2969,23553
2147,1,2970,8789
794,3,2971,23762
1075,2,2972,20512
429,3,2973,27734
853,1,2974,23039
2294,2,2975,7185
24,7,2976,32485
1523,2,2977,15550
436,3,2978,27624
2567,1,2979,4406
2929,1,2980,536
681,3,2981,24964
375,3,2982,28605
1636,2,2983,14218
700,3,2984,24808
2358,2,2985,6635
493,4,2986,26946
20,8,2987,32523
2374,1,2988,6512
1429,2,2989,16753
2891,1,2990,1166
531,5,2991,26569
757,4,2992,24205
568,4,2993,26196
661,3,2994,25208
427,5,2995,27792
525,4,2996,26605
1987,2,2997,10582
2796,1,2998,2381
2981,1,2999,199
2816,1,3000,2153
1224,3,3001,19133
1148,3,3002,19908
2083,3,3003,9624
31,5,3004,32405
2819,2,3005,2207
1292,2,3006,18483
862,3,3007,23122
1737,1,3008,13205
1778,1,3009,12892
1976,1,3010,10754
439,2,3011,27659
824,1,3012,23602
2496,1,3013,5484
2850,1,3014,1888
510,3,3015,26761
1845,1,3016,12333
2054,2,3017,10075
499,3,3018,26934
1635,3,3019,14435
1943,1,3020,11218
2610,1,3021,4369
1579,3,3022,15193
2139,2,3023,9315
2648,1,3024,4049
16,8,3025,32599
460,2,3026,27396
1252,2,3027,18991
2552,1,3028,4938
820,2,3029,23703
1272,1,3030,18821
1386,3,3031,17448
91,5,3032,31783
926,2,3033,22499
2873,1,3034,1846
2848,1,3035,2195
2601,1,3036,4526
805,3,3037,23865
864,2,3038,23215
1394,2,3039,17399
2320,1,3040,7510
659,4,3041,25350
2049,1,3042,10298
1782,2,3043,12997
410,4,3044,28122
1843,1,3045,12520
1547,1,3046,15752
1529,1,3047,15934
2644,1,3048,4237
2964,1,3049,952
238,5,3050,30114
726,3,3051,24722
1730,1,3052,13549
1788,2,3053,13000
899,2,3054,22817
2554,2,3055,5189
402,4,3056,28282
1619,2,3057,14953
2704,1,3058,3746
1041,2,3059,21207
1303,1,3060,18633
1127,1,3061,20401
1888,1,3062,12149
575,3,3063,26276
693,2,3064,25044
703,2,3065,24955
1001,1,3066,21653
2566,1,3067,5129
33,6,3068,32404
2001,1,3069,10926
378,2,3070,28637
798,3,3071,24008
1175,1,3072,19922
1641,1,3073,14787
1376,2,3074,17784
519,4,3075,26798
1185,1,3076,19770
2644,1,3077,4481
2438,1,3078,6554
1447,3,3079,17011
2975,1,3080,1201
1352,3,3081,18187
583,4,3082,26221
2699,1,3083,4065
2800,1,3084,3048
1488,2,3085,16669
1934,1,3086,11855
591,4,3087,26168
2748,1,3088,3633
85,6,3089,31891
1554,1,3090,15930
1032,3,3091,21458
1505,2,3092,16530
141,5,3093,31275
266,3,3094,29827
854,4,3095,23555
49,7,3096,32280
1666,2,3097,14731
759,3,3098,24520
488,3,3099,27203
37,7,3100,32366
619,2,3101,25990
1291,1,3102,18980
3090,1,3103,143
888,4,3104,23214
2566,2,3105,5531
3000,1,3106,1188
2180,1,3107,9484
1023,3,3108,21623
1330,2,3109,18622
2951,1,3110,1791
1062,3,3111,21230
2624,1,3112,4928
69,6,3113,32092
1717,1,3114,14209
311,4,3115,29336
1242,2,3116,19436
2867,1,3117,2713
396,2,3118,28489
2391,2,3119,7428
2971,1,3120,1694
2346,1,3121,7900
2757,1,3122,3764
1955,1,3123,11878
215,5,3124,30414
2948,1,3125,1933
1744,1,3126,13849
455,4,3127,27660
2474,1,3128,6557
2158,1,3129,9757
216,4,3130,30391
1499,2,3131,16777
2780,1,3132,3685
1742,2,3133,13895
2738,1,3134,4075
927,3,3135,22802
822,3,3136,23957
1318,2,3137,18838
2826,1,3138,3239
2645,1,3139,4904
2286,1,3140,8636
2417,1,3141,7208
1012,3,3142,21791
2291,2,3143,8568
1382,2,3144,18147
2155,1,3145,9905
2943,1,3146,2245
1331,2,3147,18687
1042,3,3148,21536
2691,2,3149,4546
1797,2,3150,13432
2762,1,3151,3953
298,5,3152,29544
417,3,3153,28236
1701,1,3154,14584
964,3,3155,22492
2035,1,3156,11173
979,2,3157,22368
247,5,3158,30110
1865,1,3159,12936
3131,1,3160,264
734,3,3161,24888
2886,1,3162,2890
659,3,3163,25635
394,4,3164,28577
157,6,3165,31099
1272,1,3166,19356
552,4,3167,26650
287,4,3168,29741
2430,1,3169,7357
2134,1,3170,10343
328,3,3171,29258
2577,1,3172,5935
3049,1,3173,1349
1748,2,3174,14178
1829,1,3175,13272
1991,1,3176,11842
1756,1,3177,14100
2404,1,3178,7713
576,3,3179,26461
1385,1,3180,18349
2852,1,3181,3363
144,5,3182,31300
549,4,3183,26695
286,4,3184,29752
2051,2,3185,11243
2511,1,3186,6639
939,3,3187,22908
689,3,3188,25406
74,5,3189,32042
2566,1,3190,6266
2387,1,3191,8000
3076,1,3192,1284
2555,1,3193,6373
1854,1,3194,13161
1951,1,3195,12376
2177,1,3196,10057
1575,2,3197,16297
473,3,3198,27550
3139,2,3199,623
1565,3,3200,16414
1330,3,3201,18967
1408,2,3202,18125
2642,1,3203,5562
907,4,3204,23288
1916,2,3205,12704
1439,2,3206,17713
679,3,3207,25560
884,2,3208,23556
2630,2,3209,5772
799,2,3210,24445
1796,2,3211,13820
2869,1,3212,3514
586,4,3213,26433
2355,1,3214,8470
2211,2,3215,9805
2051,2,3216,11445
2894,1,3217,3266
1899,2,3218,12927
1154,4,3219,20621
631,5,3220,26050
1571,2,3221,16502
560,5,3222,26644
238,5,3223,30201
146,6,3224,31287
411,3,3225,28459
2152,1,3226,10492
2598,2,3227,6257
36,8,3228,32390
1241,2,3229,19802
1520,1,3230,16985
1153,3,3231,20697
599,4,3232,26385
3217,1,3233,172
139,5,3234,31425
666,3,3235,25791
1010,1,3236,22336
3172,1,3237,702
154,4,3238,31218
814,2,3239,24382
610,4,3240,26321
2374,1,3241,8481
968,1,3242,22721
1962,2,3243,12578
1142,2,3244,20848
1630,1,3245,16038
448,4,3246,27988
2501,2,3247,7244
1478,2,3248,17544
1734,1,3249,14808
2211,1,3250,10129
431,4,3251,28249
1613,1,3252,16216
2497,1,3253,7369
2782,1,3254,4566
1228,3,3255,20094
1752,1,3256,14665
150,5,3257,31250
1362,1,3258,18923
2355,2,3259,8886
3198,1,3260,639
2545,2,3261,6933
3117,1,3262,1589
1188,3,3263,20512
2772,1,3264,4782
702,4,3265,25477
125,7,3266,31532
935,2,3267,23202
1736,1,3268,14895
2911,1,3269,3625
1856,1,3270,13583
2217,1,3271,10195
537,4,3272,26963
2243,1,3273,9948
1746,1,3274,14806
543,3,3275,26904
3226,1,3276,503
643,2,3277,26073
3097,1,3278,1896
373,5,3279,28941
597,3,3280,26456
1192,2,3281,20533
1555,1,3282,16910
193,6,3283,30758
1610,1,3284,16425
1570,2,3285,16813
2248,1,3286,10023
2740,2,3287,5270
2471,2,3288,7907
1522,3,3289,17314
2655,1,3290,6174
537,4,3291,26991
3186,1,3292,1117
1059,2,3293,21858
1154,1,3294,20890
1169,4,3295,20747
383,5,3296,28828
3060,1,3297,2473
2374,2,3298,8948
3137,2,3299,1708
246,6,3300,30188
2517,2,3301,7528
1760,2,3302,14830
2776,2,3303,4959
3246,1,3304,559
484,4,3305,27588
1040,3,3306,22178
3249,1,3307,550
1140,3,3308,21110
715,3,3309,25442
115,7,3310,31672
2476,3,3311,8021
1501,3,3312,17614
787,4,3313,24802
426,4,3314,28380
1453,3,3315,18237
94,7,3316,31837
2817,1,3317,4777
2528,2,3318,7535
3118,1,3319,2056
3017,1,3320,2989
1389,1,3321,18916
1789,1,3322,14717
2593,1,3323,6884
2645,1,3324,6471
899,1,3325,23753
2390,1,3326,8944
190,4,3327,30820
1968,1,3328,12932
49,7,3329,32288
380,1,3330,28931
3017,1,3331,3106
1623,2,3332,16544
2097,1,3333,11779
2049,1,3334,12281
1336,3,3335,19370
1112,3,3336,21520
2256,1,3337,10210
2282,1,3338,9998
1903,2,3339,13459
1775,2,3340,14869
357,2,3341,29130
1764,1,3342,15022
250,5,3343,30191
2898,1,3344,4242
384,4,3345,28902
1675,1,3346,16101
1423,3,3347,18662
1326,3,3348,19483
2284,2,3349,10054
1273,3,3350,19991
1723,2,3351,15517
701,4,3352,25678
27,8,3353,32479
205,4,3354,30705
173,4,3355,31069
2632,1,3356,6758
1499,2,3357,17875
914,2,3358,23711
1682,3,3359,16113
2995,1,3360,3597
1652,3,3361,16371
3156,1,3362,2111
2434,1,3363,8783
2807,1,3364,5234
370,4,3365,29058
2432,1,3366,8854
1270,3,3367,20091
3223,1,3368,1436
3187,1,3369,1852
1480,2,3370,18178
1316,2,3371,19625
311,5,3372,29694
11,9,3373,32663
2709,1,3374,6320
2735,2,3375,6050
3314,1,3376,587
175,5,3377,31049
631,2,3378,26383
42,5,3379,32360
1361,1,3380,19339
1373,1,3381,19210
245,3,3382,30341
2663,1,3383,6685
2909,1,3384,4463
1450,2,3385,18587
1628,1,3386,16736
958,2,3387,23329
2380,1,3388,9441
1006,2,3389,22791
1532,1,3390,17679
376,4,3391,29051
1746,1,3392,15584
1605,2,3393,16937
2095,1,3394,12178
2832,1,3395,5242
2098,1,3396,12171
1302,2,3397,19822
3362,1,3398,303
472,4,3399,28059
1633,2,3400,16763
2244,2,3401,10717
249,6,3402,30311
2221,2,3403,10926
18,8,3404,32598
2111,1,3405,12116
1291,2,3406,20008
131,5,3407,31541
1089,1,3408,21921
637,2,3409,26388
1676,1,3410,16452
83,6,3411,32013
972,2,3412,23254
74,6,3413,32127
1872,1,3414,14370
936,2,3415,23632
10,9,3416,32695
3383,1,3417,289
2323,2,3418,10164
2244,2,3419,10873
2702,1,3420,6625
2897,1,3421,4846
3255,1,3422,1704
2086,2,3423,12489
95,6,3424,31908
511,3,3425,27594
1192,1,3426,20963
1628,3,3427,16874
2868,1,3428,5138
964,3,3429,23375
2573,1,3430,7979
1286,3,3431,20179
1916,2,3432,13910
2450,2,3433,9162
2743,1,3434,6435
1609,3,3435,17131
2573,1,3436,8008
1062,3,3437,22406
229,4,3438,30589
524,3,3439,27505
1423,1,3440,19006
2681,1,3441,6990
1506,1,3442,18283
469,3,3443,28187
2607,1,3444,7716
362,4,3445,29229
2781,1,3446,6230
2919,1,3447,4861
2568,2,3448,8143
254,5,3449,30328
825,2,3450,24787
695,3,3451,26029
2601,1,3452,7822
2454,1,3453,9230
2126,2,3454,12243
381,6,3455,29093
3046,1,3456,3842
2803,1,3457,6111
56,8,3458,32281
2626,2,3459,7656
3249,1,3460,2096
596,3,3461,26795
1999,2,3462,13298
516,4,3463,27625
2838,1,3464,5845
87,6,3465,32012
1922,1,3466,14112
2639,1,3467,7592
988,3,3468,23289
3397,1,3469,695
2883,2,3470,5399
3286,1,3471,1822
2472,2,3472,9159
541,5,3473,27391
2649,1,3474,7532
3069,1,3475,3803
75,7,3476,32156
3017,1,3477,4251
3465,1,3478,138
2523,2,3479,8686
676,4,3480,26206
550,4,3481,27304
1537,1,3482,18087
2610,1,3483,7941
2686,1,3484,7183
407,4,3485,28914
2041,1,3486,13046
92,6,3487,31957
1876,1,3488,14754
2888,1,3489,5487
656,3,3490,26398
2148,2,3491,12220
2877,1,3492,5645
243,5,3493,30476
998,2,3494,23276
2976,1,3495,4773
2766,1,3496,6559
2089,1,3497,12716
110,5,3498,31812
1098,3,3499,22317
76,6,3500,32148
452,2,3501,28526
3197,1,3502,2910
1695,3,3503,16644
2307,1,3504,10727
2621,2,3505,7983
3318,1,3506,1839
2135,2,3507,12437
2441,1,3508,9575
321,5,3509,29777
1776,1,3510,15908
1700,2,3511,16617
1393,2,3512,19469
2947,2,3513,5050
1102,3,3514,22294
98,5,3515,31944
1744,2,3516,16269
3006,1,3517,4639
681,2,3518,26235
461,4,3519,28450
1565,2,3520,17963
2390,2,3521,10114
762,3,3522,25561
2997,2,3523,4782
3203,1,3524,3024
1832,3,3525,15353
2961,1,3526,4993
737,3,3527,25809
188,5,3528,31069
2108,1,3529,12722
1918,2,3530,14457
2623,1,3531,8129
2903,1,3532,5695
3085,2,3533,4148
2542,2,3534,8890
871,2,3535,24554
2373,1,3536,10308
300,3,3537,29927
498,2,3538,28059
1920,2,3539,14481
3388,1,3540,1452
514,2,3541,27863
3471,1,3542,654
133,7,3543,31671
1357,2,3544,19844
2744,1,3545,7093
2039,2,3546,13322
1911,2,3547,14656
170,4,3548,31279
1182,2,3549,21535
3426,1,3550,1224
1911,3,3551,14676
3487,1,3552,582
3417,1,3553,1312
464,5,3554,28466
275,5,3555,30214
135,6,3556,31650
2604,2,3557,8443
1715,2,3558,16665
1084,3,3559,22579
310,4,3560,29878
847,3,3561,24868
892,2,3562,24486
1859,2,3563,15277
220,4,3564,30754
3246,1,3565,2960
3358,1,3566,1939
36,8,3567,32409
485,3,3568,28294
2728,1,3569,7470
946,2,3570,23962
2637,2,3571,8214
1231,2,3572,21140
73,6,3573,32182
795,2,3574,25390
2128,2,3575,12832
557,3,3576,27498
2626,2,3577,8353
2553,2,3578,9066
2577,1,3579,8883
3546,1,3580,286
1974,2,3581,14200
2296,1,3582,11335
2643,2,3583,8243
1773,2,3584,16282
1066,4,3585,22866
2413,1,3586,10257
2748,2,3587,7435
1870,3,3588,15274
1659,3,3589,17305
2324,1,3590,11036
1994,2,3591,13973
1357,3,3592,20051
2902,2,3593,6156
3332,1,3594,2483
3509,1,3595,826
1904,2,3596,14951
1861,2,3597,15370
1480,2,3598,19025
3267,1,3599,3034
1297,4,3600,20566
1840,2,3601,15629
3382,1,3602,2068
329,6,3603,29805
3489,1,3604,1095
926,4,3605,24181
1068,3,3606,22894
2918,1,3607,6123
2358,3,3608,10855
2058,3,3609,13447
3177,1,3610,3870
2808,1,3611,7018
1382,3,3612,19841
430,5,3613,28853
910,3,3614,24414
1860,3,3615,15494
1214,4,3616,21456
1680,2,3617,17183
1272,3,3618,20830
917,4,3619,24326
717,5,3620,26129
305,5,3621,30043
92,6,3622,31986
2750,2,3623,7613
1408,3,3624,19675
2613,2,3625,8817
375,4,3626,29319
815,3,3627,25261
1983,1,3628,14387
2226,2,3629,12330
916,2,3630,24412
1494,3,3631,19059
2529,1,3632,9564
515,4,3633,28043
1718,1,3634,16879
1144,2,3635,22239
1143,2,3636,22252
166,5,3637,31388
1701,1,3638,17077
2077,2,3639,13538
3077,1,3640,4901
968,3,3641,23918
3505,1,3642,1293
2882,2,3643,6573
2802,2,3644,7297
639,4,3645,26715
3526,1,3646,1143
155,5,3647,31511
2934,1,3648,6287
1175,2,3649,21904
1271,1,3650,20993
2487,1,3651,10047
1091,3,3652,22782
1904,2,3653,15305
1624,2,3654,17923
15,8,3655,32627
1928,2,3656,15095
1789,2,3657,16476
180,3,3658,31244
1062,3,3659,23121
3176,1,3660,4273
2394,1,3661,10873
2743,1,3662,7964
1295,2,3663,20780
1545,1,3664,18751
1913,2,3665,15280
3554,1,3666,1044
105,5,3667,31922
1498,2,3668,19116
409,4,3669,29107
894,2,3670,24682
768,4,3671,25803
2187,1,3672,12873
3046,1,3673,5470
2040,1,3674,14113
2489,2,3675,10180
481,4,3676,28486
1941,2,3677,15092
732,3,3678,26105
2829,2,3679,7340
567,4,3680,27520
2990,1,3681,6060
2103,1,3682,13539
314,4,3683,29950
2053,1,3684,13978
1332,2,3685,20588
192,5,3686,31159
2686,1,3687,8577
687,3,3688,26447
2554,2,3689,9684
2612,1,3690,9257
45,6,3691,32365
2525,1,3692,9990
2692,1,3693,8574
1643,2,3694,17914
3393,2,3695,2767
2872,2,3696,7079
2477,1,3697,10372
574,3,3698,27499
2295,1,3699,12078
2636,1,3700,9134
3018,1,3701,5955
1137,2,3702,22519
1154,3,3703,22383
2986,1,3704,6270
1527,2,3705,19039
146,5,3706,31553
797,3,3707,25590
3401,1,3708,2807
2008,2,3709,14600
2207,1,3710,12876
2081,2,3711,13838
2331,1,3712,11850
3591,1,3713,1147
2474,1,3714,10474
1041,4,3715,23435
768,4,3716,25868
2730,1,3717,8395
478,5,3718,28535
2831,2,3719,7598
2620,2,3720,9354
166,6,3721,31457
2994,1,3722,6342
257,4,3723,30536
2689,1,3724,8797
1836,2,3725,16321
344,3,3726,29788
2084,2,3727,13858
3724,1,3728,62
2477,2,3729,10512
2019,2,3730,14556
1496,3,3731,19357
610,5,3732,27163
380,5,3733,29395
2199,1,3734,12995
